Albedo 0xac652e43
UseNormal 0xf506d2e9
LifetimeCurve 0x5a287902
TexNormalAoRoughness 0xd78df1a3
ConeAngleColorExponent 0xb1488578
SliderHardness 0xb7b5e11a
SssSmokeColor 0x2e7c3c44
TexCliffsTarget 0x95985c12
InnerGlowExp 0xac85e863
TexColorVariationMra 0x683b37a3
AtmosphereSaturation 0x56814e54
EmissiveColorPower 0x1517464f
ColorVariationAoBlend 0x55ac86da
FresnelInvert 0xa10d1f1a
MaxDist 0x1b5169e1
ReticleIntesity 0x6eab8a8a
SampBlackHoleLut 0x9b5154a2
RoundMaskRadius 0xea70fd60
SampFlareNoise 0x8f8eb0b7
SampIlluminateData 0xaee67341
FlashColor 0xada685ee
RibbonVertexData 0x5ee5e696
NoiseFresnelRim 0x4970aa2b
ROffsetMin 0x9f33cc54
TexGeneratedMaterials 0x4cd79a10
SunAngularSize 0xeb1b1369
EmissiveEnabled 0x333333e6
BoundingMax 0xb7d617f4
EyeInt 0xf7f48601
TexLensEmissiveTexture 0x35dd18e8
SecondaryColorVariationAlphaChannel 0xc2e66d24
Oraocc 0xf3f58b87
SampCloakingNoise 0x46f8dc38
SnowBaseColor 0x8020dc13
Shexdq 0xcae884e0
CameraProximityFade 0x8dbeaa04
NormalMask 0x28b94fd6
MaxSpecularSubdermal 0x8aeda0f3
SampGlobalSpecularMap 0x1d7b5769
OverlayHeightMaskMaxOpacity 0xdc9e1534
ShrinkNearCamera 0xf5753f28
AoExp 0xbb647474
EnergyDistortionTile 0x71cfdbdd
FarFadeOffset 0x85842242
SampDepthColorLookup 0x91ab24c
TexMudNormalsGrayscale 0x413d57b2
BaseIsData 0xae6ce009
EmissiveBase 0x3e6e30e7
DropSelectBackgroundGridLuminanceDecrease 0xb567fac6
TexFootstepTiler 0x2fb2034c
UseColortint 0x11cf312
TexInputTexture 0xd9ffba32
SampVeinsData 0xa190107c
SampGroundNar 0xf4e3657a
SampColorRoughness 0x3cb8d580
RandomFlipping 0x48f369c
TexScrollNoise 0x4487fbe2
TranslunencyPower 0x212b6d9c
TexDisplacementMap 0x56fb22d5
DepthBias 0x2567cfb7
SampBackgroundAlpha 0xa5cc58f8
InteresectIntensity 0xc7da6b90
Texcoord 0xb77a0f36
EllipseMaskTotal 0xe44d28e7
SecondaryColorVariationNormalBlend 0x3c8af636
DepthFadeDistanceNear 0x50263785
TexSweepTexture 0xf1c606e4
TexSporeNoise 0x3c9e27ca
VertexOffsetSineMax 0x17abb5d0
EnergyLinesSpeed 0x60843c26
TexShipVideoTextureY 0x3bd8415
BugGunkWeightsPositive 0x471d063
ScreenAlert 0x610d4a17
EnergyDistortionStrength 0xbd94223e
GlassRandomSlope 0x88149c4e
MaxRoughness 0x5fc0007a
SinTimeSpeed 0xeeb5b35a
TonemapA 0x35454225
NoiseOpacityMult 0x194a711a
MudNormalBlendAmount 0x457475a9
SampWeatheringDataMask 0xf13031d
OffsetFlashExp 0x3345a139
